device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
SXR2230P,0,1651200,2,2054400,9.97,307.97,9.37,0,0
SXR2230P,0,1651200,2,2208000,12.16,310.25,8.74,0,0
SXR2230P,0,1651200,2,2361600,12.83,316.8,8.04,0,0
SXR2230P,0,1920000,2,691200,18.27,446.95,10.87,0,0
SXR2230P,0,1920000,2,960000,20.99,442.55,9.57,0,0
SXR2230P,0,1920000,2,1094400,21.94,440.41,8.98,0,0
SXR2230P,0,1920000,2,1228800,20.64,438.2,9.58,0,0
SXR2230P,0,1920000,2,1382400,21.27,438.35,9.3,0,0
SXR2230P,0,1920000,2,1516800,23.18,440.48,8.4,0,0
SXR2230P,0,1920000,2,1651200,21.64,445.15,9.2,0,0
SXR2230P,0,1920000,2,1920000,20.92,446.87,9.9,0,0
SXR2230P,0,1920000,2,2054400,18.88,449.33,10.92,0,0
SXR2230P,0,1920000,2,2208000,17.67,452.42,12.19,0,0
SXR2230P,0,1920000,2,2361600,20.34,446.46,10.13,0,0
SXR2230P,0,2054400,2,691200,25.29,487.7,11.34,0,0
SXR2230P,0,2054400,2,960000,21.23,498.35,13.13,0,0
SXR2230P,0,2054400,2,1094400,22.14,499.03,12.87,0,0
SXR2230P,0,2054400,2,1228800,25.15,501.82,10.88,0,0
SXR2230P,0,2054400,2,1382400,26.74,494.33,10.41,0,0
SXR2230P,0,2054400,2,1516800,23.5,496.78,11.63,0,0
SXR2230P,0,2054400,2,1651200,21.63,497.24,13.17,0,0
SXR2230P,0,2054400,2,1920000,25.96,509.92,9.92,0,0
SXR2230P,0,2054400,2,2054400,24.33,505.24,11.43,0,0
SXR2230P,0,2054400,2,2208000,21.87,493.99,13.22,0,0
SXR2230P,0,2054400,2,2361600,21.86,500.45,14.98,0,0
SXR2230P,0,2208000,2,691200,25.26,574.75,17.27,0,0
SXR2230P,0,2208000,2,960000,23.23,584.93,16.36,0,0
SXR2230P,0,2208000,2,1094400,30.38,583.05,13.17,0,0
SXR2230P,0,2208000,2,1228800,30.02,584.26,13.14,0,0
SXR2230P,0,2208000,2,1382400,24.91,586.68,15.8,0,0
SXR2230P,0,2208000,2,1516800,29.21,583.11,13.16,0,0
SXR2230P,0,2208000,2,1651200,29.1,591.9,13.36,0,0
SXR2230P,0,2208000,2,1920000,24.37,583.06,16.55,0,0
SXR2230P,0,2208000,2,2054400,28.96,584.9,14.02,0,0
SXR2230P,0,2208000,2,2208000,26.58,571.14,15.65,0,0
SXR2230P,0,2208000,2,2361600,29.37,597.33,13.77,0,0
SXR2230P,0,2361600,2,691200,37.04,647.09,15.06,0,0
SXR2230P,0,2361600,2,960000,36.23,678.92,15.13,0,0
SXR2230P,0,2361600,2,1094400,30.92,674.54,19.06,0,0
SXR2230P,0,2361600,2,1228800,36.11,681.8,14.71,0,0
SXR2230P,0,2361600,2,1382400,36.57,687.57,15.02,0,0
SXR2230P,0,2361600,2,1516800,31.04,685.31,18.26,0,0
SXR2230P,0,2361600,2,1651200,33.82,685.91,17.14,0,0
SXR2230P,0,2361600,2,1920000,32.44,690.61,18.78,0,0
SXR2230P,0,2361600,2,2054400,32.02,685.81,18.99,0,0
SXR2230P,0,2361600,2,2208000,28.21,686.98,21.17,0,0
SXR2230P,0,2361600,2,2361600,34.34,682.86,17.29,0,0
