device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1
Tensor G5,0,883000,255,1056000000,36.2,90.53,0.92,0
Tensor G5,0,883000,255,1132000000,39.04,103.09,0.78,0
Tensor G5,0,883000,255,1228000000,46.04,114.89,0.8,0
Tensor G5,0,883000,255,1324000000,46.13,115.45,0.87,0
Tensor G5,0,883000,255,1420000000,48.66,133.67,1.47,0
Tensor G5,0,883000,255,1516000000,54.16,143.27,0.77,0
Tensor G5,0,883000,255,1612000000,57.49,150.15,1.21,0
Tensor G5,0,883000,255,1728000000,67.93,188.21,0.71,0
Tensor G5,0,883000,255,1843000000,72.55,199.99,1.38,0
Tensor G5,0,883000,255,1920000000,82.1,228.38,0.84,0
Tensor G5,0,883000,255,1996000000,84.13,225.51,1.47,0
Tensor G5,0,883000,255,2092000000,98.82,264.64,1.26,0
Tensor G5,0,883000,255,2188000000,105.97,283.71,5.98,0
Tensor G5,0,1036000,255,115000000,19.27,20.49,0.54,0
Tensor G5,0,1036000,255,268000000,21.28,33.3,0.67,0
Tensor G5,0,1036000,255,400000000,23.61,44.45,0.73,0
Tensor G5,0,1036000,255,537000000,26.03,55.75,0.54,0
Tensor G5,0,1036000,255,691000000,28.27,67.73,0.6,0
Tensor G5,0,1036000,255,768000000,29.73,72.22,0.63,0
Tensor G5,0,1036000,255,844000000,31.23,74.49,0.44,0
Tensor G5,0,1036000,255,960000000,40.33,85.06,0.38,0
Tensor G5,0,1036000,255,1056000000,36.75,95.54,0.72,0
Tensor G5,0,1036000,255,1132000000,40.35,107.32,0.36,0
Tensor G5,0,1036000,255,1228000000,43.56,115.64,0.66,0
Tensor G5,0,1036000,255,1324000000,46.58,130.94,0.9,0
Tensor G5,0,1036000,255,1420000000,50.64,151.0,0.91,0
Tensor G5,0,1036000,255,1516000000,54.06,145.58,0.95,0
Tensor G5,0,1036000,255,1612000000,60.43,172.93,0.73,0
Tensor G5,0,1036000,255,1728000000,68.19,185.82,0.89,0
Tensor G5,0,1036000,255,1843000000,75.43,211.12,0.95,0
Tensor G5,0,1036000,255,1920000000,75.64,228.31,1.33,0
Tensor G5,0,1036000,255,1996000000,88.17,250.07,1.18,0
Tensor G5,0,1036000,255,2092000000,100.08,274.23,0.87,0
Tensor G5,0,1036000,255,2188000000,111.22,322.66,1.03,0
Tensor G5,0,1190000,255,115000000,20.35,22.29,0.56,0
Tensor G5,0,1190000,255,268000000,22.92,42.08,0.73,0
Tensor G5,0,1190000,255,400000000,25.66,50.48,0.38,0
Tensor G5,0,1190000,255,537000000,27.58,58.6,0.62,0
Tensor G5,0,1190000,255,691000000,29.84,71.45,0.8,0
Tensor G5,0,1190000,255,768000000,30.93,79.32,1.34,0
Tensor G5,0,1190000,255,844000000,31.84,80.86,1.76,0
Tensor G5,0,1190000,255,960000000,34.43,89.45,0.93,0
Tensor G5,0,1190000,255,1056000000,36.96,101.52,0.81,0
Tensor G5,0,1190000,255,1132000000,40.1,109.06,0.64,0
Tensor G5,0,1190000,255,1228000000,43.66,133.21,0.83,0
Tensor G5,0,1190000,255,1324000000,47.3,138.71,0.56,0
Tensor G5,0,1190000,255,1420000000,51.13,147.79,0.87,0
Tensor G5,0,1190000,255,1516000000,55.16,161.04,0.53,0
Tensor G5,0,1190000,255,1612000000,54.08,178.54,5.18,0
Tensor G5,0,1190000,255,1728000000,69.73,193.32,1.84,0
Tensor G5,0,1190000,255,1843000000,75.0,221.8,1.83,0
Tensor G5,0,1190000,255,1920000000,82.32,241.49,1.29,0
Tensor G5,0,1190000,255,1996000000,88.62,264.4,1.18,0
Tensor G5,0,1190000,255,2092000000,100.23,297.33,1.11,0
Tensor G5,0,1190000,255,2188000000,111.75,338.84,1.22,0
Tensor G5,0,1286000,255,115000000,21.61,29.39,1.21,0
Tensor G5,0,1286000,255,268000000,25.28,44.57,0.36,0
Tensor G5,0,1286000,255,400000000,28.12,56.33,0.29,0
Tensor G5,0,1286000,255,537000000,29.55,71.13,0.78,0
Tensor G5,0,1286000,255,691000000,32.11,78.96,0.79,0
Tensor G5,0,1286000,255,768000000,26.37,76.42,8.34,0
Tensor G5,0,1286000,255,844000000,28.68,69.5,1.26,0
Tensor G5,0,1286000,255,960000000,36.88,107.59,1.13,0
Tensor G5,0,1286000,255,1056000000,37.82,106.56,0.83,0
Tensor G5,0,1286000,255,1132000000,39.79,112.11,1.09,0
Tensor G5,0,1286000,255,1228000000,43.5,129.42,1.02,0
Tensor G5,0,1286000,255,1324000000,468.82,140.63,0.74,0
Tensor G5,0,1286000,255,1420000000,185.39,164.73,0.81,0
Tensor G5,0,1286000,255,1516000000,282.14,182.65,0.7,0
Tensor G5,0,1286000,255,1612000000,298.78,190.35,0.96,0
Tensor G5,0,1286000,255,1728000000,422.42,205.29,0.86,0
Tensor G5,0,1286000,255,1843000000,77.84,227.42,0.15,0
Tensor G5,0,1286000,255,1920000000,84.4,249.93,0.27,0
Tensor G5,0,1286000,255,1996000000,90.1,274.36,0.61,0
Tensor G5,0,1286000,255,2092000000,101.23,315.63,0.86,0
Tensor G5,0,1286000,255,2188000000,112.88,339.0,0.79,0
Tensor G5,0,1363000,255,115000000,22.78,30.64,0.67,0
Tensor G5,0,1363000,255,268000000,26.61,46.13,0.25,0
Tensor G5,0,1363000,255,400000000,28.62,56.41,0.58,0
Tensor G5,0,1363000,255,537000000,31.0,71.3,0.65,0
Tensor G5,0,1363000,255,691000000,33.59,86.05,0.75,0
Tensor G5,0,1363000,255,768000000,35.42,95.78,0.66,0
Tensor G5,0,1363000,255,844000000,35.25,93.0,0.68,0
Tensor G5,0,1363000,255,960000000,40.43,105.52,0.67,0
Tensor G5,0,1363000,255,1056000000,39.58,109.81,0.62,0
Tensor G5,0,1363000,255,1132000000,41.12,115.72,0.69,0
Tensor G5,0,1363000,255,1228000000,42.13,127.16,1.53,0
Tensor G5,0,1363000,255,1324000000,47.56,139.5,0.75,0
Tensor G5,0,1363000,255,1420000000,52.38,156.85,0.39,0
Tensor G5,0,1363000,255,1516000000,53.61,162.52,1.46,0
Tensor G5,0,1363000,255,1612000000,61.48,183.97,0.59,0
Tensor G5,0,1363000,255,1728000000,69.42,210.05,0.86,0
Tensor G5,0,1363000,255,1843000000,76.17,234.68,1.37,0
Tensor G5,0,1363000,255,1920000000,82.86,258.92,1.23,0
Tensor G5,0,1363000,255,1996000000,89.89,297.04,0.77,0
Tensor G5,0,1363000,255,2092000000,101.61,308.49,0.78,0
Tensor G5,0,1363000,255,2188000000,108.47,332.08,1.22,0
Tensor G5,0,1459000,255,115000000,25.02,32.49,0.38,0
Tensor G5,0,1459000,255,268000000,28.45,48.13,0.3,0
Tensor G5,0,1459000,255,400000000,30.78,66.35,0.55,0
Tensor G5,0,1459000,255,537000000,32.6,76.75,1.17,0
Tensor G5,0,1459000,255,691000000,36.24,94.36,0.62,0
Tensor G5,0,1459000,255,768000000,37.69,100.45,0.78,0
Tensor G5,0,1459000,255,844000000,39.37,105.59,0.71,0
Tensor G5,0,1459000,255,960000000,41.63,122.39,0.7,0
Tensor G5,0,1459000,255,1056000000,42.52,125.65,0.64,0
Tensor G5,0,1459000,255,1132000000,44.07,130.33,0.65,0
Tensor G5,0,1459000,255,1228000000,45.76,139.21,0.95,0
Tensor G5,0,1459000,255,1324000000,47.31,148.74,0.85,0
Tensor G5,0,1459000,255,1420000000,53.2,162.42,0.11,0
Tensor G5,0,1459000,255,1516000000,55.3,177.22,0.87,0
Tensor G5,0,1459000,255,1612000000,61.69,194.55,0.7,0
Tensor G5,0,1459000,255,1728000000,69.63,214.84,0.79,0
Tensor G5,0,1459000,255,1843000000,76.84,237.31,0.94,0
Tensor G5,0,1459000,255,1920000000,83.6,269.29,1.05,0
Tensor G5,0,1459000,255,1996000000,90.18,288.85,0.78,0
Tensor G5,0,1459000,255,2092000000,101.79,343.02,0.86,0
Tensor G5,0,1459000,255,2188000000,112.96,375.32,0.96,0
Tensor G5,0,1555000,255,115000000,25.81,33.24,0.78,0
Tensor G5,0,1555000,255,268000000,29.88,57.31,0.4,0
Tensor G5,0,1555000,255,400000000,31.54,69.2,1.09,0
Tensor G5,0,1555000,255,537000000,35.15,83.66,0.6,0
Tensor G5,0,1555000,255,691000000,37.77,96.68,0.87,0
Tensor G5,0,1555000,255,768000000,39.08,105.1,1.93,0
Tensor G5,0,1555000,255,844000000,41.72,117.06,0.56,0
Tensor G5,0,1555000,255,960000000,44.12,125.35,0.55,0
Tensor G5,0,1555000,255,1056000000,44.67,133.17,0.68,0
Tensor G5,0,1555000,255,1132000000,46.67,135.44,0.57,0
Tensor G5,0,1555000,255,1228000000,47.89,151.1,0.95,0
Tensor G5,0,1555000,255,1324000000,50.34,158.81,0.74,0
Tensor G5,0,1555000,255,1420000000,52.28,162.93,0.73,0
Tensor G5,0,1555000,255,1516000000,56.05,175.57,0.62,0
Tensor G5,0,1555000,255,1612000000,59.86,191.93,2.7,0
Tensor G5,0,1555000,255,1728000000,71.5,230.99,1.77,0
Tensor G5,0,1555000,255,1843000000,77.48,244.05,0.62,0
Tensor G5,0,1555000,255,1920000000,84.48,270.05,0.78,0
Tensor G5,0,1555000,255,1996000000,89.7,290.99,1.2,0
Tensor G5,0,1555000,255,2092000000,101.61,331.63,1.2,0
Tensor G5,0,1555000,255,2188000000,113.01,374.24,1.12,0
Tensor G5,0,1632000,255,115000000,28.25,36.62,0.01,0
Tensor G5,0,1632000,255,268000000,30.28,58.2,0.76,0
Tensor G5,0,1632000,255,400000000,33.89,76.04,0.3,0
Tensor G5,0,1632000,255,537000000,36.11,84.16,0.88,0
Tensor G5,0,1632000,255,691000000,40.44,105.97,0.79,0
Tensor G5,0,1632000,255,768000000,41.68,120.82,0.52,0
Tensor G5,0,1632000,255,844000000,43.07,119.68,0.71,0
Tensor G5,0,1632000,255,960000000,45.15,131.08,0.92,0
Tensor G5,0,1632000,255,1056000000,46.16,139.07,0.72,0
Tensor G5,0,1632000,255,1132000000,46.46,146.5,1.22,0
Tensor G5,0,1632000,255,1228000000,49.99,157.13,0.72,0
Tensor G5,0,1632000,255,1324000000,51.75,164.34,1.05,0
Tensor G5,0,1632000,255,1420000000,54.29,173.74,0.62,0
Tensor G5,0,1632000,255,1516000000,56.69,185.94,0.0,0
Tensor G5,0,1632000,255,1612000000,61.72,203.28,0.99,0
Tensor G5,0,1632000,255,1728000000,69.77,241.15,1.06,0
Tensor G5,0,1632000,255,1843000000,77.12,269.15,1.05,0
Tensor G5,0,1632000,255,1920000000,83.99,285.59,1.27,0
Tensor G5,0,1632000,255,1996000000,96.73,303.74,1.1,0
Tensor G5,0,1632000,255,2092000000,102.17,336.84,0.86,0
Tensor G5,0,1632000,255,2188000000,111.49,371.95,1.22,0
Tensor G5,0,1766000,255,115000000,28.83,39.78,1.04,0
Tensor G5,0,1766000,255,268000000,32.14,62.72,1.66,0
Tensor G5,0,1766000,255,400000000,36.53,81.64,0.76,0
Tensor G5,0,1766000,255,537000000,39.54,96.57,0.88,0
Tensor G5,0,1766000,255,691000000,42.74,115.72,1.05,0
Tensor G5,0,1766000,255,768000000,45.06,126.78,0.85,0
Tensor G5,0,1766000,255,844000000,47.09,133.63,0.72,0
Tensor G5,0,1766000,255,960000000,49.04,145.75,1.06,0
Tensor G5,0,1766000,255,1056000000,50.36,175.74,0.85,0
Tensor G5,0,1766000,255,1132000000,50.45,164.82,0.83,0
Tensor G5,0,1766000,255,1228000000,54.76,177.83,0.81,0
Tensor G5,0,1766000,255,1324000000,56.73,186.14,0.83,0
Tensor G5,0,1766000,255,1420000000,60.62,195.35,0.0,0
Tensor G5,0,1766000,255,1516000000,60.49,216.61,1.09,0
Tensor G5,0,1766000,255,1612000000,63.81,203.86,0.61,0
Tensor G5,0,1766000,255,1728000000,70.61,237.14,0.56,0
Tensor G5,0,1766000,255,1843000000,74.41,252.18,1.25,0
Tensor G5,0,1766000,255,1920000000,86.28,282.05,1.6,0
Tensor G5,0,1766000,255,1996000000,91.18,310.57,0.68,0
Tensor G5,0,1766000,255,2092000000,102.74,344.05,0.89,0
Tensor G5,0,1766000,255,2188000000,113.23,396.02,1.45,0
Tensor G5,0,1881000,255,115000000,31.65,44.25,0.81,0
Tensor G5,0,1881000,255,268000000,35.73,69.99,0.59,0
Tensor G5,0,1881000,255,400000000,39.31,85.52,0.7,0
Tensor G5,0,1881000,255,537000000,42.38,102.24,0.92,0
Tensor G5,0,1881000,255,691000000,46.12,120.67,0.79,0
Tensor G5,0,1881000,255,768000000,48.01,142.64,1.01,0
Tensor G5,0,1881000,255,844000000,47.93,155.88,1.04,0
Tensor G5,0,1881000,255,960000000,52.63,162.54,1.17,0
Tensor G5,0,1881000,255,1056000000,53.94,172.98,0.84,0
Tensor G5,0,1881000,255,1132000000,56.33,180.7,0.68,0
Tensor G5,0,1881000,255,1228000000,58.35,191.56,0.84,0
Tensor G5,0,1881000,255,1324000000,60.94,197.53,0.71,0
Tensor G5,0,1881000,255,1420000000,63.56,220.68,0.39,0
Tensor G5,0,1881000,255,1516000000,63.6,222.55,1.52,0
Tensor G5,0,1881000,255,1612000000,68.76,243.96,0.34,0
Tensor G5,0,1881000,255,1728000000,70.9,252.42,0.74,0
Tensor G5,0,1881000,255,1843000000,73.76,270.62,1.24,0
Tensor G5,0,1881000,255,1920000000,84.64,288.52,1.23,0
Tensor G5,0,1881000,255,1996000000,91.7,316.34,0.67,0
Tensor G5,0,1881000,255,2092000000,103.14,355.3,0.91,0
Tensor G5,0,1881000,255,2188000000,114.68,390.88,0.97,0
Tensor G5,0,1996000,255,115000000,35.86,49.93,0.74,0
Tensor G5,0,1996000,255,268000000,38.38,77.71,0.63,0
Tensor G5,0,1996000,255,400000000,42.03,99.62,0.93,0
Tensor G5,0,1996000,255,537000000,45.66,118.99,0.73,0
Tensor G5,0,1996000,255,691000000,47.66,134.24,1.41,0
Tensor G5,0,1996000,255,768000000,51.67,145.17,0.94,0
Tensor G5,0,1996000,255,844000000,53.54,164.1,1.04,0
Tensor G5,0,1996000,255,960000000,56.94,186.09,0.72,0
Tensor G5,0,1996000,255,1056000000,58.01,182.51,0.73,0
Tensor G5,0,1996000,255,1132000000,59.73,200.04,1.01,0
Tensor G5,0,1996000,255,1228000000,62.81,213.61,0.68,0
Tensor G5,0,1996000,255,1324000000,65.4,225.19,0.61,0
Tensor G5,0,1996000,255,1420000000,67.42,228.54,0.85,0
Tensor G5,0,1996000,255,1516000000,69.73,240.23,0.89,0
Tensor G5,0,1996000,255,1612000000,73.04,250.67,0.62,0
Tensor G5,0,1996000,255,1728000000,75.73,263.9,0.65,0
Tensor G5,0,1996000,255,1843000000,78.8,274.24,0.66,0
Tensor G5,0,1996000,255,1920000000,85.72,299.41,0.75,0
Tensor G5,0,1996000,255,1996000000,91.2,332.3,1.18,0
Tensor G5,0,1996000,255,2092000000,101.06,359.95,1.36,0
Tensor G5,0,1996000,255,2188000000,115.01,419.31,1.07,0
Tensor G5,0,2016000,255,115000000,31.62,55.5,1.49,0
Tensor G5,0,2016000,255,268000000,39.39,85.13,0.83,0
Tensor G5,0,2016000,255,400000000,43.29,96.41,0.88,0
Tensor G5,0,2016000,255,537000000,45.91,115.47,1.07,0
Tensor G5,0,2016000,255,691000000,51.08,141.38,0.86,0
Tensor G5,0,2016000,255,768000000,53.55,150.9,0.81,0
Tensor G5,0,2016000,255,844000000,55.76,161.46,0.72,0
Tensor G5,0,2016000,255,960000000,58.66,191.14,0.9,0
Tensor G5,0,2016000,255,1056000000,59.96,193.8,0.61,0
Tensor G5,0,2016000,255,1132000000,60.26,202.23,0.58,0
Tensor G5,0,2016000,255,1228000000,64.55,220.67,0.84,0
Tensor G5,0,2016000,255,1324000000,67.23,223.1,0.63,0
Tensor G5,0,2016000,255,1420000000,69.75,233.77,0.7,0
Tensor G5,0,2016000,255,1516000000,71.9,246.63,0.97,0
Tensor G5,0,2016000,255,1612000000,74.84,263.37,0.85,0
Tensor G5,0,2016000,255,1728000000,78.11,276.42,0.78,0
Tensor G5,0,2016000,255,1843000000,82.33,294.76,1.29,0
Tensor G5,0,2016000,255,1920000000,81.9,299.3,1.55,0
Tensor G5,0,2016000,255,1996000000,91.67,322.26,0.91,0
Tensor G5,0,2016000,255,2092000000,104.11,358.2,0.61,0
Tensor G5,0,2016000,255,2188000000,114.88,405.19,1.22,0
Tensor G5,0,2054000,255,115000000,36.6,52.82,0.93,0
Tensor G5,0,2054000,255,268000000,41.46,83.98,0.84,0
Tensor G5,0,2054000,255,400000000,45.31,104.78,1.11,0
Tensor G5,0,2054000,255,537000000,49.6,125.88,0.81,0
Tensor G5,0,2054000,255,691000000,53.74,158.67,0.86,0
Tensor G5,0,2054000,255,768000000,54.47,169.14,2.61,0
Tensor G5,0,2054000,255,844000000,58.3,172.99,0.86,0
Tensor G5,0,2054000,255,960000000,62.79,195.93,0.18,0
Tensor G5,0,2054000,255,1056000000,60.41,201.47,1.08,0
Tensor G5,0,2054000,255,1132000000,64.96,210.42,0.97,0
Tensor G5,0,2054000,255,1228000000,68.71,228.57,1.01,0
Tensor G5,0,2054000,255,1324000000,68.3,227.14,1.92,0
Tensor G5,0,2054000,255,1420000000,73.05,245.3,0.84,0
Tensor G5,0,2054000,255,1516000000,75.94,260.46,0.6,0
Tensor G5,0,2054000,255,1612000000,78.65,264.24,0.75,0
Tensor G5,0,2054000,255,1728000000,84.04,291.13,1.0,0
Tensor G5,0,2054000,255,1843000000,85.21,302.95,0.73,0
Tensor G5,0,2054000,255,1920000000,87.3,311.8,0.86,0
Tensor G5,0,2054000,255,1996000000,90.45,316.78,2.52,0
Tensor G5,0,2054000,255,2092000000,104.03,361.54,0.77,0
Tensor G5,0,2054000,255,2188000000,115.09,426.55,1.15,0
Tensor G5,0,2092000,255,115000000,39.1,56.49,1.03,0
Tensor G5,0,2092000,255,268000000,36.42,84.78,1.4,0
Tensor G5,0,2092000,255,400000000,48.88,109.91,1.02,0
Tensor G5,0,2092000,255,537000000,51.16,130.06,0.81,0
Tensor G5,0,2092000,255,691000000,55.61,160.42,0.78,0
Tensor G5,0,2092000,255,768000000,56.42,157.73,2.7,0
Tensor G5,0,2092000,255,844000000,60.2,189.98,0.97,0
Tensor G5,0,2092000,255,960000000,63.5,200.08,1.03,0
Tensor G5,0,2092000,255,1056000000,65.36,218.11,0.41,0
Tensor G5,0,2092000,255,1132000000,66.94,231.3,1.24,0
Tensor G5,0,2092000,255,1228000000,70.27,232.3,0.78,0
Tensor G5,0,2092000,255,1324000000,70.11,245.3,1.58,0
Tensor G5,0,2092000,255,1420000000,75.26,257.22,1.01,0
Tensor G5,0,2092000,255,1516000000,77.89,277.04,0.92,0
Tensor G5,0,2092000,255,1612000000,82.16,292.1,0.23,0
Tensor G5,0,2092000,255,1728000000,84.57,295.18,0.88,0
Tensor G5,0,2092000,255,1843000000,87.98,308.21,0.66,0
Tensor G5,0,2092000,255,1920000000,90.16,322.65,0.74,0
Tensor G5,0,2092000,255,1996000000,92.65,352.28,0.56,0
