device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
Tensor,0,1401000,6,1582000,18.95,151.34,2.05,0,0
Tensor,0,1401000,6,1745000,18.98,152.04,2.01,0,0
Tensor,0,1401000,6,1826000,19.11,151.71,1.95,0,0
Tensor,0,1401000,6,2048000,19.04,136.69,1.98,0,0
Tensor,0,1401000,6,2188000,18.97,152.56,2.0,0,0
Tensor,0,1401000,6,2252000,19.09,149.02,1.97,0,0
Tensor,0,1401000,6,2401000,35.91,210.3,3.23,0,0
Tensor,0,1401000,6,2507000,35.64,188.64,3.32,0,0
Tensor,0,1401000,6,2630000,35.41,202.75,3.5,0,0
Tensor,0,1401000,6,2704000,35.69,204.49,3.4,0,0
Tensor,0,1401000,6,2802000,35.64,208.14,3.45,0,0
Tensor,0,1598000,4,400000,24.83,196.05,2.36,0,0
Tensor,0,1598000,4,553000,24.68,234.53,2.37,0,0
Tensor,0,1598000,4,696000,24.71,230.15,2.34,0,0
Tensor,0,1598000,4,799000,24.87,175.64,2.34,0,0
Tensor,0,1598000,4,910000,24.76,228.23,2.36,0,0
Tensor,0,1598000,4,1024000,24.6,228.37,2.47,0,0
Tensor,0,1598000,4,1197000,24.77,201.12,2.43,0,0
Tensor,0,1598000,4,1328000,24.68,202.37,2.41,0,0
Tensor,0,1598000,4,1491000,24.58,199.78,2.52,0,0
Tensor,0,1598000,4,1663000,35.59,210.2,3.46,0,0
Tensor,0,1598000,4,1836000,35.74,315.02,3.33,0,0
Tensor,0,1598000,4,1999000,35.65,285.37,3.44,0,0
Tensor,0,1598000,4,2130000,35.31,256.84,3.7,0,0
Tensor,0,1598000,4,2253000,35.91,255.65,3.37,0,0
Tensor,0,1598000,6,500000,24.78,184.21,2.34,0,0
Tensor,0,1598000,6,851000,24.73,175.69,2.41,0,0
Tensor,0,1598000,6,984000,24.68,195.14,2.43,0,0
Tensor,0,1598000,6,1106000,24.65,194.89,2.46,0,0
Tensor,0,1598000,6,1277000,24.63,167.1,2.49,0,0
Tensor,0,1598000,6,1426000,24.7,190.42,2.45,0,0
Tensor,0,1598000,6,1582000,24.79,190.72,2.39,0,0
Tensor,0,1598000,6,1745000,24.73,180.52,2.44,0,0
Tensor,0,1598000,6,1826000,24.72,203.15,2.4,0,0
Tensor,0,1598000,6,2048000,24.82,197.7,2.39,0,0
Tensor,0,1598000,6,2188000,24.7,185.45,2.47,0,0
Tensor,0,1598000,6,2252000,24.83,155.38,2.35,0,0
Tensor,0,1598000,6,2401000,36.0,237.12,3.25,0,0
Tensor,0,1598000,6,2507000,35.89,253.55,3.34,0,0
Tensor,0,1598000,6,2630000,35.76,208.38,3.45,0,0
Tensor,0,1598000,6,2704000,35.7,218.73,3.46,0,0
Tensor,0,1598000,6,2802000,35.65,248.51,3.47,0,0
Tensor,0,1704000,4,400000,28.98,234.84,2.73,0,0
Tensor,0,1704000,4,553000,29.01,210.31,2.66,0,0
Tensor,0,1704000,4,696000,28.95,300.74,2.73,0,0
Tensor,0,1704000,4,799000,28.77,270.96,2.79,0,0
Tensor,0,1704000,4,910000,28.84,284.84,2.76,0,0
Tensor,0,1704000,4,1024000,28.76,251.86,2.85,0,0
Tensor,0,1704000,4,1197000,28.75,256.3,2.78,0,0
Tensor,0,1704000,4,1328000,28.65,246.88,2.86,0,0
Tensor,0,1704000,4,1491000,28.73,267.07,2.88,0,0
Tensor,0,1704000,4,1663000,35.81,266.03,3.49,0,0
Tensor,0,1704000,4,1836000,35.78,274.06,3.35,0,0
Tensor,0,1704000,4,1999000,35.67,268.14,3.46,0,0
Tensor,0,1704000,4,2130000,35.75,273.4,3.41,0,0
Tensor,0,1704000,4,2253000,35.42,276.92,3.72,0,0
Tensor,0,1704000,6,500000,29.1,239.74,2.65,0,0
Tensor,0,1704000,6,851000,28.79,216.53,2.74,0,0
Tensor,0,1704000,6,984000,28.9,259.03,2.76,0,0
Tensor,0,1704000,6,1106000,28.71,211.76,2.82,0,0
Tensor,0,1704000,6,1277000,28.79,216.77,2.8,0,0
Tensor,0,1704000,6,1426000,28.94,207.8,2.71,0,0
Tensor,0,1704000,6,1582000,28.96,232.83,2.67,0,0
Tensor,0,1704000,6,1745000,28.67,237.37,2.85,0,0
Tensor,0,1704000,6,1826000,29.0,224.71,2.71,0,0
Tensor,0,1704000,6,2048000,28.86,239.69,2.73,0,0
Tensor,0,1704000,6,2188000,28.88,218.8,2.76,0,0
Tensor,0,1704000,6,2252000,28.87,272.23,2.76,0,0
Tensor,0,1704000,6,2401000,35.74,258.98,3.33,0,0
Tensor,0,1704000,6,2507000,35.74,276.92,3.4,0,0
Tensor,0,1704000,6,2630000,35.71,249.7,3.45,0,0
Tensor,0,1704000,6,2704000,36.01,253.04,3.29,0,0
Tensor,0,1704000,6,2802000,35.91,266.15,3.4,0,0
Tensor,0,1803000,4,400000,35.71,342.95,3.49,0,0
Tensor,0,1803000,4,553000,35.76,330.57,3.41,0,0
Tensor,0,1803000,4,696000,35.71,355.0,3.41,0,0
Tensor,0,1803000,4,799000,35.67,310.42,3.45,0,0
Tensor,0,1803000,4,910000,35.95,309.22,3.38,0,0
Tensor,0,1803000,4,1024000,35.6,303.94,3.55,0,0
Tensor,0,1803000,4,1197000,36.0,346.31,3.26,0,0
Tensor,0,1803000,4,1328000,35.9,300.16,3.36,0,0
Tensor,0,1803000,4,1491000,35.88,215.33,3.33,0,0
Tensor,0,1803000,4,1663000,35.72,284.35,3.47,0,0
Tensor,0,1803000,4,1836000,35.9,289.0,3.32,0,0
Tensor,0,1803000,4,1999000,34.96,293.38,3.33,0,0
Tensor,0,1803000,4,2130000,35.07,359.86,3.19,0,0
Tensor,0,1803000,4,2253000,35.07,295.24,3.23,0,0
Tensor,0,1803000,6,500000,34.68,223.89,3.4,0,0
Tensor,0,1803000,6,851000,34.74,261.39,3.4,0,0
Tensor,0,1803000,6,984000,35.08,269.51,3.26,0,0
Tensor,0,1803000,6,1106000,35.06,269.58,3.21,0,0
Tensor,0,1803000,6,1277000,34.87,218.3,3.39,0,0
Tensor,0,1803000,6,1426000,34.86,264.34,3.36,0,0
Tensor,0,1803000,6,1582000,34.9,263.56,3.36,0,0
Tensor,0,1803000,6,1745000,35.09,210.36,3.29,0,0
Tensor,0,1803000,6,1826000,35.06,256.1,3.34,0,0
Tensor,0,1803000,6,2048000,35.18,269.91,3.16,0,0
Tensor,0,1803000,6,2188000,35.16,261.04,3.25,0,0
Tensor,0,1803000,6,2252000,34.84,272.92,3.49,0,0
Tensor,0,1803000,6,2401000,35.2,260.24,3.38,0,0
Tensor,0,1803000,6,2507000,34.89,240.7,3.58,0,0
Tensor,0,1803000,6,2630000,35.21,150.76,3.42,0,0
Tensor,0,1803000,6,2704000,35.2,277.28,3.44,0,0
Tensor,0,1803000,6,2802000,35.12,269.2,3.62,0,0
