device,freq_khz,dep_policy,dep_freq,l3_hit,l3_miss
Tensor G4,1197000,255,1328000,0.5711,0.9117
Tensor G4,1328000,255,1328000,0.5372,0.956
Tensor G4,1425000,255,1328000,0.5482,0.934
Tensor G4,1548000,255,1328000,0.5615,0.7495
Tensor G4,1696000,255,1328000,0.53,0.9145
Tensor G4,1849000,255,1328000,0.5504,0.9478
Tensor G4,1950000,255,1328000,0.6243,0.9335
Tensor G4,820000,255,1444000,0.5437,0.9403
Tensor G4,955000,255,1444000,0.5635,0.9997
Tensor G4,1098000,255,1444000,0.5711,0.919
Tensor G4,1197000,255,1444000,0.5595,0.9455
Tensor G4,1328000,255,1444000,0.5772,0.9415
Tensor G4,1425000,255,1444000,0.5507,0.9582
Tensor G4,1548000,255,1444000,0.5535,0.8986
Tensor G4,1696000,255,1444000,0.507,0.9369
Tensor G4,1849000,255,1444000,0.628,0.8878
Tensor G4,1950000,255,1444000,0.658,1.0974
Tensor G4,820000,255,1548000,0.578,0.8322
Tensor G4,955000,255,1548000,0.603,0.9371
Tensor G4,1098000,255,1548000,0.6163,0.962
Tensor G4,1197000,255,1548000,0.6105,0.9323
Tensor G4,1328000,255,1548000,0.589,0.8355
Tensor G4,1425000,255,1548000,0.5924,0.9416
Tensor G4,1548000,255,1548000,0.5611,0.8911
Tensor G4,1696000,255,1548000,0.5792,0.905
Tensor G4,1849000,255,1548000,0.6021,0.9761
Tensor G4,1950000,255,1548000,0.6579,1.0438
Tensor G4,820000,255,1704000,1.5584,1.2388
Tensor G4,955000,255,1704000,1.5287,1.104
Tensor G4,1098000,255,1704000,1.6412,1.2419
Tensor G4,1197000,255,1704000,1.9947,1.318
Tensor G4,1328000,255,1704000,1.6701,1.178
Tensor G4,1425000,255,1704000,1.5944,1.3017
Tensor G4,1548000,255,1704000,1.6769,1.6058
Tensor G4,1696000,255,1704000,1.7215,1.8
Tensor G4,1849000,255,1704000,1.9143,2.0842
Tensor G4,1950000,255,1704000,1.932,2.8572
Tensor G4,820000,255,1800000,1.575,1.5401
Tensor G4,955000,255,1800000,1.6833,1.5087
Tensor G4,1098000,255,1800000,1.5571,2.0737
Tensor G4,1197000,255,1800000,1.6815,1.8473
Tensor G4,1328000,255,1800000,1.7828,1.666
Tensor G4,1425000,255,1800000,1.8061,1.8018
Tensor G4,1548000,255,1800000,1.9956,1.64
Tensor G4,1696000,255,1800000,1.8592,1.701
Tensor G4,1849000,255,1800000,1.5758,1.5364
Tensor G4,1950000,255,1800000,1.9823,1.7952
Tensor G4,820000,255,1880000,1.7249,1.7787
Tensor G4,955000,255,1880000,1.7635,2.0677
Tensor G4,1098000,255,1880000,1.805,1.5907
Tensor G4,1197000,255,1880000,1.7293,2.0645
Tensor G4,1328000,255,1880000,1.918,1.9844
Tensor G4,1425000,255,1880000,2.0013,1.5541
Tensor G4,1548000,255,1880000,2.0504,1.9877
Tensor G4,1696000,255,1880000,1.9603,1.8955
Tensor G4,1849000,255,1880000,2.1168,1.9674
Tensor G4,1950000,255,1880000,2.2047,2.4697
Tensor G4,820000,255,1950000,1.9756,1.4938
Tensor G4,955000,255,1950000,1.90147,1.8144
Tensor G4,1098000,255,1950000,2.1539,2.0811
Tensor G4,1197000,255,1950000,2.2192,1.8968
Tensor G4,1328000,255,1950000,2.2974,2.1572
Tensor G4,1425000,255,1950000,2.3865,2.2972
Tensor G4,1548000,255,1950000,2.4361,2.3942
Tensor G4,1696000,255,1950000,2.8677,2.2737
Tensor G4,1849000,255,1950000,2.6123,2.5181
Tensor G4,1950000,255,1950000,2.7293,2.5798
Tensor G4,820000,255,2024000,2.0136,1.7557
Tensor G4,955000,255,2024000,1.9834,1.6844
Tensor G4,1098000,255,2024000,2.1129,1.8735
Tensor G4,1197000,255,2024000,2.5894,2.2185
Tensor G4,1328000,255,2024000,2.6949,2.1905
Tensor G4,1425000,255,2024000,2.8143,2.7641
Tensor G4,1548000,255,2024000,2.8513,2.6064
Tensor G4,1696000,255,2024000,2.663,2.3265
Tensor G4,1849000,255,2024000,2.6618,2.595
Tensor G4,1950000,255,2024000,2.7227,2.7533
Tensor G4,820000,255,2120000,2.5414,2.6693
Tensor G4,955000,255,2120000,2.7682,2.7252
Tensor G4,1098000,255,2120000,3.1524,2.8636
Tensor G4,1197000,255,2120000,3.0192,2.6325
Tensor G4,1328000,255,2120000,2.9797,3.1899
Tensor G4,1425000,255,2120000,3.176,3.069
Tensor G4,1548000,255,2120000,3.1105,2.2982
Tensor G4,1696000,255,2120000,2.9221,3.2752
Tensor G4,1849000,255,2120000,3.2659,3.0112
Tensor G4,1950000,255,2120000,3.1351,3.5576
Tensor G4,820000,255,2150000,2.9947,2.6827
Tensor G4,955000,255,2150000,2.9357,2.5455
Tensor G4,1098000,255,2150000,3.1562,2.8923
Tensor G4,1197000,255,2150000,3.0068,3.2811
Tensor G4,1328000,255,2150000,3.1187,3.0526
Tensor G4,1425000,255,2150000,3.2907,2.9659
Tensor G4,1548000,255,2150000,2.9841,3.347
Tensor G4,1696000,255,2150000,3.2313,3.1632
Tensor G4,1849000,255,2150000,3.091,3.1305
Tensor G4,1950000,255,2150000,3.326,3.0211
